               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.035166,            0.015217,            0.010664,             0.92881,             0.89827,             0.94928,             0.69449,            0.015962,           0.0067241,           0.0038907,           0.0091585,           0.0091585,           0.0091585
                  36,            0.034989,            0.015122,           0.0097939,             0.93882,             0.91341,             0.95367,             0.69749,            0.016027,           0.0066941,           0.0028953,           0.0091337,           0.0091337,           0.0091337
                  37,             0.03493,            0.015076,           0.0096737,             0.94047,             0.92303,             0.95633,             0.70346,            0.015942,           0.0066513,           0.0029669,            0.009109,            0.009109,            0.009109
                  38,            0.034735,            0.014986,           0.0094713,             0.93069,              0.9181,             0.95325,             0.70656,            0.015942,           0.0066571,           0.0024485,           0.0090843,           0.0090843,           0.0090843
                  39,            0.034731,            0.015077,           0.0094029,             0.93408,             0.91683,             0.95383,             0.70437,            0.015858,            0.006641,           0.0024448,           0.0090595,           0.0090595,           0.0090595
                  40,            0.034784,            0.015102,           0.0093005,              0.9365,             0.92523,             0.95761,             0.70803,            0.015818,           0.0066594,           0.0022943,           0.0090347,           0.0090347,           0.0090347
                  41,            0.034362,            0.014989,            0.009223,             0.93679,             0.92314,             0.95452,             0.70805,            0.015881,           0.0066577,           0.0026154,             0.00901,             0.00901,             0.00901
                  42,            0.034368,             0.01496,           0.0091376,             0.93514,              0.9213,             0.95139,             0.70812,             0.01573,           0.0066858,           0.0025326,           0.0089853,           0.0089853,           0.0089853
                  43,            0.034546,            0.014948,           0.0092542,             0.94169,             0.91867,             0.95269,             0.70772,            0.015678,           0.0066533,           0.0025324,           0.0089605,           0.0089605,           0.0089605
                  44,            0.034685,            0.014909,           0.0092326,              0.9271,             0.91468,             0.95428,             0.70769,            0.015641,           0.0066513,           0.0027693,           0.0089358,           0.0089358,           0.0089358
                  45,            0.034555,            0.015044,           0.0095021,              0.9332,              0.9221,             0.95055,             0.70931,            0.015601,           0.0066312,             0.00237,            0.008911,            0.008911,            0.008911
                  46,            0.034296,            0.015089,           0.0092042,             0.94055,             0.92004,             0.95332,             0.70624,            0.015516,           0.0066636,           0.0022216,           0.0088863,           0.0088863,           0.0088863
                  47,             0.03376,            0.014801,           0.0081835,             0.94526,              0.9176,             0.95312,             0.70746,            0.015612,           0.0066147,           0.0021745,           0.0088615,           0.0088615,           0.0088615
                  48,            0.033985,            0.014797,           0.0087729,             0.94179,             0.91431,             0.95509,             0.71106,            0.015517,           0.0066122,           0.0022962,           0.0088368,           0.0088368,           0.0088368
                  49,            0.034114,            0.014724,           0.0087513,             0.94235,              0.9238,             0.95516,             0.71206,            0.015388,           0.0066006,           0.0023531,            0.008812,            0.008812,            0.008812
                  50,            0.033706,            0.014841,           0.0085535,             0.93201,             0.93233,             0.95718,             0.71324,            0.015507,           0.0066136,           0.0021575,           0.0087872,           0.0087872,           0.0087872
                  51,            0.033869,            0.014786,            0.008057,             0.94551,             0.93113,             0.95915,             0.71341,            0.015498,           0.0066122,           0.0018869,           0.0087625,           0.0087625,           0.0087625
